SysClk (MHz),Target Baudrate (bps),Over Sampling,Ideal Div,Actual Div,Actual Baudrate (bps),Error (%)
12.0,110,8,13636.36,13636,110.00,0.0027%
12.0,110,16,6818.18,6818,110.00,0.0027%
12.0,110,32,3409.09,3409,110.00,0.0027%
12.0,300,8,5000.00,5000,300.00,0.0000%
12.0,300,16,2500.00,2500,300.00,0.0000%
12.0,300,32,1250.00,1250,300.00,0.0000%
12.0,600,8,2500.00,2500,600.00,0.0000%
12.0,600,16,1250.00,1250,600.00,0.0000%
12.0,600,32,625.00,625,600.00,0.0000%
12.0,1200,8,1250.00,1250,1200.00,0.0000%
12.0,1200,16,625.00,625,1200.00,0.0000%
12.0,1200,32,312.50,312,1201.92,0.1603%
12.0,2400,8,625.00,625,2400.00,0.0000%
12.0,2400,16,312.50,312,2403.85,0.1603%
12.0,2400,32,156.25,156,2403.85,0.1603%
12.0,4800,8,312.50,312,4807.69,0.1603%
12.0,4800,16,156.25,156,4807.69,0.1603%
12.0,4800,32,78.12,78,4807.69,0.1603%
12.0,9600,8,156.25,156,9615.38,0.1603%
12.0,9600,16,78.12,78,9615.38,0.1603%
12.0,9600,32,39.06,39,9615.38,0.1603%
12.0,14400,8,104.17,104,14423.08,0.1603%
12.0,14400,16,52.08,52,14423.08,0.1603%
12.0,14400,32,26.04,26,14423.08,0.1603%
12.0,19200,8,78.12,78,19230.77,0.1603%
12.0,19200,16,39.06,39,19230.77,0.1603%
12.0,19200,32,19.53,20,18750.00,-2.3438%
12.0,38400,8,39.06,39,38461.54,0.1603%
12.0,38400,16,19.53,20,37500.00,-2.3438%
12.0,38400,32,9.77,10,37500.00,-2.3438%
12.0,57600,8,26.04,26,57692.31,0.1603%
12.0,57600,16,13.02,13,57692.31,0.1603%
12.0,57600,32,6.51,7,53571.43,-6.9940%
12.0,115200,8,13.02,13,115384.62,0.1603%
12.0,115200,16,6.51,7,107142.86,-6.9940%
12.0,115200,32,3.26,3,125000.00,8.5069%
12.0,230400,8,6.51,7,214285.71,-6.9940%
12.0,230400,16,3.26,3,250000.00,8.5069%
12.0,230400,32,1.63,2,187500.00,-18.6198%
12.0,460800,8,3.26,3,500000.00,8.5069%
12.0,460800,16,1.63,2,375000.00,-18.6198%
12.0,460800,32,0.81,1,375000.00,-18.6198%
12.0,921600,8,1.63,2,750000.00,-18.6198%
12.0,921600,16,0.81,1,750000.00,-18.6198%
12.0,921600,32,0.41,N/A,N/A,Out of Range
24.0,110,8,27272.73,27273,110.00,-0.0010%
24.0,110,16,13636.36,13636,110.00,0.0027%
24.0,110,32,6818.18,6818,110.00,0.0027%
24.0,300,8,10000.00,10000,300.00,0.0000%
24.0,300,16,5000.00,5000,300.00,0.0000%
24.0,300,32,2500.00,2500,300.00,0.0000%
24.0,600,8,5000.00,5000,600.00,0.0000%
24.0,600,16,2500.00,2500,600.00,0.0000%
24.0,600,32,1250.00,1250,600.00,0.0000%
24.0,1200,8,2500.00,2500,1200.00,0.0000%
24.0,1200,16,1250.00,1250,1200.00,0.0000%
24.0,1200,32,625.00,625,1200.00,0.0000%
24.0,2400,8,1250.00,1250,2400.00,0.0000%
24.0,2400,16,625.00,625,2400.00,0.0000%
24.0,2400,32,312.50,312,2403.85,0.1603%
24.0,4800,8,625.00,625,4800.00,0.0000%
24.0,4800,16,312.50,312,4807.69,0.1603%
24.0,4800,32,156.25,156,4807.69,0.1603%
24.0,9600,8,312.50,312,9615.38,0.1603%
24.0,9600,16,156.25,156,9615.38,0.1603%
24.0,9600,32,78.12,78,9615.38,0.1603%
24.0,14400,8,208.33,208,14423.08,0.1603%
24.0,14400,16,104.17,104,14423.08,0.1603%
24.0,14400,32,52.08,52,14423.08,0.1603%
24.0,19200,8,156.25,156,19230.77,0.1603%
24.0,19200,16,78.12,78,19230.77,0.1603%
24.0,19200,32,39.06,39,19230.77,0.1603%
24.0,38400,8,78.12,78,38461.54,0.1603%
24.0,38400,16,39.06,39,38461.54,0.1603%
24.0,38400,32,19.53,20,37500.00,-2.3438%
24.0,57600,8,52.08,52,57692.31,0.1603%
24.0,57600,16,26.04,26,57692.31,0.1603%
24.0,57600,32,13.02,13,57692.31,0.1603%
24.0,115200,8,26.04,26,115384.62,0.1603%
24.0,115200,16,13.02,13,115384.62,0.1603%
24.0,115200,32,6.51,7,107142.86,-6.9940%
24.0,230400,8,13.02,13,230769.23,0.1603%
24.0,230400,16,6.51,7,214285.71,-6.9940%
24.0,230400,32,3.26,3,250000.00,8.5069%
24.0,460800,8,6.51,7,428571.43,-6.9940%
24.0,460800,16,3.26,3,500000.00,8.5069%
24.0,460800,32,1.63,2,375000.00,-18.6198%
24.0,921600,8,3.26,3,1000000.00,8.5069%
24.0,921600,16,1.63,2,750000.00,-18.6198%
24.0,921600,32,0.81,1,750000.00,-18.6198%
25.0,110,8,28409.09,28409,110.00,0.0003%
25.0,110,16,14204.55,14205,110.00,-0.0032%
25.0,110,32,7102.27,7102,110.00,0.0038%
25.0,300,8,10416.67,10417,299.99,-0.0032%
25.0,300,16,5208.33,5208,300.02,0.0064%
25.0,300,32,2604.17,2604,300.02,0.0064%
25.0,600,8,5208.33,5208,600.04,0.0064%
25.0,600,16,2604.17,2604,600.04,0.0064%
25.0,600,32,1302.08,1302,600.04,0.0064%
25.0,1200,8,2604.17,2604,1200.08,0.0064%
25.0,1200,16,1302.08,1302,1200.08,0.0064%
25.0,1200,32,651.04,651,1200.08,0.0064%
25.0,2400,8,1302.08,1302,2400.15,0.0064%
25.0,2400,16,651.04,651,2400.15,0.0064%
25.0,2400,32,325.52,326,2396.47,-0.1470%
25.0,4800,8,651.04,651,4800.31,0.0064%
25.0,4800,16,325.52,326,4792.94,-0.1470%
25.0,4800,32,162.76,163,4792.94,-0.1470%
25.0,9600,8,325.52,326,9585.89,-0.1470%
25.0,9600,16,162.76,163,9585.89,-0.1470%
25.0,9600,32,81.38,81,9645.06,0.4694%
25.0,14400,8,217.01,217,14400.92,0.0064%
25.0,14400,16,108.51,109,14334.86,-0.4523%
25.0,14400,32,54.25,54,14467.59,0.4694%
25.0,19200,8,162.76,163,19171.78,-0.1470%
25.0,19200,16,81.38,81,19290.12,0.4694%
25.0,19200,32,40.69,41,19054.88,-0.7558%
25.0,38400,8,81.38,81,38580.25,0.4694%
25.0,38400,16,40.69,41,38109.76,-0.7558%
25.0,38400,32,20.35,20,39062.50,1.7253%
25.0,57600,8,54.25,54,57870.37,0.4694%
25.0,57600,16,27.13,27,57870.37,0.4694%
25.0,57600,32,13.56,14,55803.57,-3.1188%
25.0,115200,8,27.13,27,115740.74,0.4694%
25.0,115200,16,13.56,14,111607.14,-3.1188%
