検証大項目,中項目,小項目,クライテリア,ボーレート設定,データビット幅,ストップビット幅,parity bit ,hw_flow_en,tx_inv,rx_inv,samp_num,over_samp,int_break_det_en,int_parity_err_en,int_framing_err_en,int_rx_timeout_en,int_overrun_err_en,int_tx_fifo_th_en,int_rx_fifo_th_en ,rx_fifo_th_level ,tx_fifo_th_level,,is_err,test_name
レジスタアクセス,全レジスタR/W確認,基本動作,すべてのレジスタに対して所定のアクセス属性（RW/RO/W1C等）通りに読み書きができること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_reg_access_basic
レジスタアクセス,連続リード,基本動作,ウェイトなしでレジスタを連続リードした際に正しいデータがバグなく取得できること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_reg_access_consecutive_read
レジスタアクセス,連続交互R/W,基本動作,ウェイトなしでライトとリードを交互に繰り返した際にバストランザクションが正常完了しデータが即時反映されること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_reg_access_alternate_rw
基本テスト,送信,送信,基本の送信ができること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_tx_normal
基本テスト,受信,受信,基本の送信ができること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rx_normal
ボーレート,1200,送受信,ボーレートで送受信ができること,1200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_1200
ボーレート,2400,送受信,ボーレートで送受信ができること,2400,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_2400
ボーレート,4800,送受信,ボーレートで送受信ができること,4800,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_4800
ボーレート,9600,送受信,ボーレートで送受信ができること,9600,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_9600
ボーレート,19200,送受信,ボーレートで送受信ができること,19200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_19200
ボーレート,38400,送受信,ボーレートで送受信ができること,38400,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_38400
ボーレート,57600,送受信,ボーレートで送受信ができること,57600,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_57600
ボーレート,230400,送受信,ボーレートで送受信ができること,230400,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_230400
ボーレート,460800,送受信,ボーレートで送受信ができること,460800,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_460800
ボーレート,921600,送受信,ボーレートで送受信ができること,921600,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_baudrate_921600
データビット幅,5,送受信,すべてのデータビット幅の設定で送受信ができること ,115200,5,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_databit_5
データビット幅,6,送受信,すべてのデータビット幅の設定で送受信ができること ,115200,6,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_databit_6
データビット幅,7,送受信,すべてのデータビット幅の設定で送受信ができること ,115200,7,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_databit_7
データビット幅,9,送受信,すべてのデータビット幅の設定で送受信ができること ,115200,9,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rtx_databit_9
